Objective_ID,Objective_Title,LOE_ID,LOE_Title,IMO_ID,IMO_Title,Parent_OAI_ID,OAI_ID,OAI_Title,OAI_Description,Land,Sea,Air,Cyber,Space,Duration_Months,Start_Date,End_Date,Decision_Point_1_Label,Decision_Point_1_Date,Decision_Point_2_Label,Decision_Point_2_Date,Decisive_Point_1_Label,Decisive_Point_1_Date,Decisive_Point_2_Label,Decisive_Point_2_Date,Branch_Notes
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.1,Restore & Protect Intelligence Sharing,1.1.1,1.1.1a,Design JIFC-HEM,Design and establish the WHEMCOM Joint Intelligence Fusion Cell (JIFC-HEM).,"Design manning, SOPs, and HUMINT integration.",Define maritime intel inputs and liaison roles.,Define air ISR inputs and ATO links.,Design secure intel networks and cross-domain solutions.,Plan space ISR feeds and archival policies.,9,2026-01-01,2026-09-30,Concept Approved,2026-04-01,,,Fusion Design Locked,2026-09-30,,,"If design is not approved on time, fusion operations (1.1.1b) slip and downstream ISR/intel-dependent OAIs are delayed."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.1,Restore & Protect Intelligence Sharing,1.1.1,1.1.1b,Operate JIFC-HEM,Operate and refine JIFC-HEM for sustained multinational intelligence fusion.,Run daily land-focused fusion boards and HUMINT review.,Continuously ingest maritime tracks and boarding reports.,Fuse air tracks and ISR into the shared picture.,Maintain and secure intel networks and tools.,Exploit space imagery and feeds for regional awareness.,51,2026-10-01,2030-12-31,Initial Manning & Feed Check,2027-06-30,Multinational Participation Review,2028-06-30,Fusion Cell Fully Operational,2028-12-31,JIFC Drives Targeting & Decisions,2030-06-30,"If key partners do not fill seats or share data (DP2), branch to a reduced-national fusion model and heavier reliance on unilateral ISR."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.2,Restore & Protect Intelligence Sharing,1.1.2,1.1.2a,Plan Intel Workshops,Plan bilateral and multilateral intelligence planning workshops.,Identify land intel gaps and priority partners.,Select maritime focus areas and partner navies/coast guards.,Identify airspace and ISR coordination requirements.,Define cyber intel exchange mechanisms.,Identify space-derived products for sharing.,9,2026-01-01,2026-09-30,Workshop Scope Approved,2026-03-31,,,Partner Set Locked for Initial Round,2026-09-30,,,"If partners decline participation, scale to smaller group and adjust expectations for shared threat picture under 1.1.2b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.2,Restore & Protect Intelligence Sharing,1.1.2,1.1.2b,Conduct Intel Workshops,Conduct intel planning workshops to build a shared regional threat picture.,Co-develop regional land threat picture and priorities.,Co-develop maritime threat models and smuggling routes.,Align air threat picture and air defense/ISR priorities.,Agree cyber intel sharing protocols and formats.,Train partners on space products and interpretation.,51,2026-10-01,2030-12-31,First Workshop Outcomes Review,2027-06-30,,,Shared Threat Picture Adopted by Core Partners,2028-12-31,,,"If workshops reveal deep political/legal divergence, branch to tiered intel-sharing model (inner circle vs outer circle)."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.3,Restore & Protect Intelligence Sharing,1.1.3,1.1.3a,Design Secure Comms Architecture,Design secure communication and data-sharing architecture for partners.,Map land HQs and intel nodes needing secure access.,"Define maritime nodes (ships, ops centers, JIATF-S) to connect.",Define air C2 centers and ISR nodes needing connectivity.,"Select crypto standards, identity, and access solutions.",Define SATCOM and space ISR bandwidth needs.,9,2026-01-01,2026-09-30,Architecture Concept Approved,2026-04-30,,,Technical Design Frozen,2026-09-30,,,"If architecture is judged too complex/expensive, branch to phased rollout or reduced partner set for 1.1.3b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.3,Restore & Protect Intelligence Sharing,1.1.3,1.1.3b,Field Secure Comms & Data-Sharing,Field and sustain secure comms and data-sharing platforms among partners.,Install secure nodes at land HQs and fusion centers.,Upgrade shipboard/naval ops center datalinks.,Integrate air ops centers into common track picture.,Operate and defend encrypted networks and services.,Maintain SATCOM and space links for continuous sharing.,51,2026-10-01,2030-12-31,Initial Rollout Performance Check,2027-06-30,Partner Uptake & Coverage Review,2028-06-30,Core Partner Network Online,2028-12-31,Network Becomes Critical Backbone,2030-06-30,"If key partners refuse deployment or restrict use, branch to mixed-secure/legacy comms model and accept slower intel sharing."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.4,Harmonize Legal & Authority Frameworks,1.1.4,1.1.4a,Plan Legal Conference,Plan hemispheric JAG and MoD legal conference.,"Identify land, SOF, and border law issues.",Identify maritime interdiction and hot pursuit gaps.,"Identify air policing, intercept, and overflight issues.","Identify cyber crime, data sharing, and evidence standards.",Identify legal use of space ISR and imagery.,9,2026-01-01,2026-09-30,Agenda & Themes Drafted,2026-03-31,,,Key Participants Confirmed,2026-07-31,,,"If major partners decline attendance, branch to sub-regional or bilateral legal engagements instead of a single hemispheric event."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.4,Harmonize Legal & Authority Frameworks,1.1.4,1.1.4b,Conduct Legal Conference,Conduct conference and document legal frameworks and gaps.,Clarify land and SOF legal boundaries and constraints.,Clarify maritime interdiction and hot pursuit rules.,Clarify air intercept and cross-border air operations.,Summarize cyber legal regimes and evidentiary requirements.,Agree norms for sharing space-based ISR.,51,2026-10-01,2030-12-31,Initial Legal Findings Review,2027-06-30,,,Regional Legal Picture Understood,2027-12-31,,,"If consensus is not reached on authorities (esp. lethal maritime), branch to differentiated legal tracks and limit ambitions in 1.1.5b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.5,Harmonize Legal & Authority Frameworks,1.1.5,1.1.5a,Draft SOFAs & Intel Agreements,Draft standardized SOFAs and intel-sharing agreements.,Draft SOFA language for land forces and trainers.,Draft VBSS and boarding provisions for maritime ops.,"Draft air basing, refuel, and transit rights clauses.",Draft cross-border digital pursuit and cyber clauses.,Draft provisions for space-based monitoring and sharing.,9,2026-01-01,2026-09-30,Model Texts Complete,2026-04-30,Priority Partners Mapped to Texts,2026-08-31,Negotiation Packages Ready,2026-09-30,,,"If drafts are politically unacceptable to multiple partners, branch to modular templates (core + optional clauses)."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.5,Harmonize Legal & Authority Frameworks,1.1.5,1.1.5b,Negotiate & Implement SOFAs/Intel Agreements,Negotiate and implement SOFAs and intel-sharing agreements with key regional partners.,Secure land SOFAs and status protections with key partners.,Secure VBSS/joint interdiction agreements with navies/coast guards.,Secure air basing and transit rights agreements.,Implement digital evidence and cyber-sharing arrangements.,Implement norms for space ISR data access and sharing.,51,2026-10-01,2030-12-31,Legal Redlines Identified,2027-03-31,Partner Set Locked,2027-12-31,Core SOFAs In Force,2028-06-30,Venezuela-Adaptive Framework Tested,2029-12-31,"If partners reject lethal or regime-change-adjacent provisions at DP1/DP2, branch to a more limited authorities architecture and adjust operational ambition in OBJ 2 and 3."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.6,Strengthen OAS/IADB & Coalition Legitimacy,1.1.6,1.1.6a,Plan OAS/IADB LNO Support,Plan and assign LNO support to OAS/IADB initiatives.,Identify land-focused initiatives needing planners.,Identify maritime security efforts needing naval planners.,Identify air safety/interoperability forums needing support.,Identify cyber coordination or CERT initiatives.,Identify space/sensor support for disaster/security work.,9,2026-01-01,2026-09-30,,,,,LNO Plan Approved,2026-09-30,,,Low-risk enabling activity; no major branching decisions expected beyond normal prioritization of which initiatives to support first.
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.6,Strengthen OAS/IADB & Coalition Legitimacy,1.1.6,1.1.6b,Execute OAS/IADB LNO Support,Deploy LNOs and integrate WHEMCOM support to OAS/IADB.,Embed planners in OAS/IADB land security projects.,Support maritime doctrine and coordination efforts.,Support air interoperability and safety planning.,Link regional CERTs via OAS/IADB.,Provide space imagery/data for planning.,51,2026-10-01,2030-12-31,LNO Impact Review,2027-09-30,,,OAS/IADB Seen as Relevant Security Forum,2029-12-31,,,"If OAS/IADB remain politically paralyzed, branch to using smaller coalitions and ad hoc groupings as primary legitimacy forums."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.7,Strengthen OAS/IADB & Coalition Legitimacy,1.1.7,1.1.7a,Design Coalition IO Campaign,Design WHEMCOM-led IO campaign supporting coalition narrative.,Map land target audiences and themes.,Frame maritime presence and interdiction as cooperative.,Frame airlift/ISR missions as transparent and humanitarian.,Design cyber/social campaigns to counter disinformation.,Plan use of unclassified space imagery in messaging.,9,2026-01-01,2026-09-30,Narrative Themes Approved,2026-04-30,,,Campaign Plan Finalized,2026-09-30,,,"If DOS/partners reject themes as too aggressive, branch to a softer, resilience/resilience-based IO posture."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.7,Strengthen OAS/IADB & Coalition Legitimacy,1.1.7,1.1.7b,Execute Coalition IO Campaign,Execute IO campaign and adapt to adversary narratives.,Use land engagements and KLEs to reinforce IO.,Publicize joint maritime patrols and interdictions.,Showcase airlift/ISR in HA/DR and DSCA missions.,Continuously counter adversary narratives online.,Publish space imagery exposing malign activities.,51,2026-10-01,2030-12-31,Initial IO Effects Review,2027-09-30,Narrative & Channel Adjustment,2028-09-30,Coalition Narrative Gains Traction,2029-12-31,,,"If IO backfires domestically or with partners, branch to narrower, less visible messaging and shift emphasis to quiet diplomacy."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.8,Deepen Security Cooperation & Capacity-Building,1.1.8,1.1.8a,Plan SFA-B Campaign,"Plan persistent SFA-B missions (C-TCO, border, cyber, C-UAS).",Identify partner land units for priority advising.,Identify navies/coast guards for interdiction training.,Identify air forces needing ISR and C-UAS support.,Identify partner cyber institutions needing training.,Identify use of commercial/space ISR in training.,9,2026-01-01,2026-09-30,Priority Partners Selected,2026-04-30,,,SFA Campaign Design Approved,2026-09-30,,,"If high-risk partners present HR/legitimacy issues, branch to tiered SFA prioritizing countries with better governance."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.8,Deepen Security Cooperation & Capacity-Building,1.1.8,1.1.8b,Execute SFA-B Campaign,Execute SFA-B capacity-building missions with partners.,Advise/train ground units on C-TCO and borders.,Train maritime units in interdiction and small-boat ops.,Train air units on ISR integration and C-UAS.,Conduct cyber training and joint exercises.,Coach partners on tasking commercial/space ISR.,51,2026-10-01,2030-12-31,First Partner Capability Review,2027-09-30,Re-Prioritize Based on Performance,2028-09-30,Key Partners Reach Basic Competence,2029-12-31,,,"If partner units are captured by corrupt/political interests, branch to discontinuation or redirection of SFA to alternative institutions."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.9,Deepen Security Cooperation & Capacity-Building,1.1.9,1.1.9a,Plan IMET/SPP Expansion,Plan expansion of IMET and State Partnership Program.,Identify land institutions for IMET seats.,Identify maritime academies/navies for exchanges.,Identify air academies/units for exchanges.,Identify cyber schools and CERTs for partnerships.,Identify space/ISR education opportunities.,9,2026-01-01,2026-09-30,IMET/SPP Targets Selected,2026-04-30,,,Program Expansion Approved,2026-09-30,,,"If budget or political constraints block expansion, branch to focusing scarce slots on fence-sitter nations most at risk of PRC/RUS influence."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.9,Deepen Security Cooperation & Capacity-Building,1.1.9,1.1.9b,Execute IMET/SPP Expansion,Execute expanded IMET and SPP engagements.,Send land officers/NCOs to U.S. PME.,Host naval/coast guard officers for maritime PME.,Host partner air officers for aviation training.,Create cyber range exchanges and CERT drills.,Educate partners on space ISR/SDA basics.,51,2026-10-01,2030-12-31,First IMET/SPP Outcomes Review,2027-09-30,,,New Cohort in Key Leadership Positions,2030-12-31,,,"If key alumni are co-opted by authoritarian regimes, branch to stricter vetting and possible program suspension in those states."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.10,Deepen Security Cooperation & Capacity-Building,1.1.10,1.1.10a,Plan Hemisphere Shield Exercise,Plan multinational exercise Hemisphere Shield.,Design land scenarios for border security/HA/DR.,Design maritime interdiction and MIO vignettes.,Design air C2/ISR/DSCA support scenarios.,Plan cyber defense and incident response injects.,Plan space-enabled targeting and COP play.,9,2026-01-01,2026-09-30,Exercise Concept Approved,2026-04-30,Force & Partner Commitments Locked,2026-08-31,Exercise Design Finalized,2026-09-30,,,"If partners balk at politically sensitive vignettes (e.g., near Venezuela), branch to scenario adjustments before 1.1.10b."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.1,"Strengthen, Reassure, Integrate Regional Partners",1.1.10,Deepen Security Cooperation & Capacity-Building,1.1.10,1.1.10b,Execute Hemisphere Shield Exercise,Execute Hemisphere Shield and capture lessons.,Rehearse land border security and HA/DR.,Conduct combined maritime interdiction/MIO events.,Conduct air integration and DSCA airlift scenarios.,Run cyber incident response drills.,Employ space-enabled targeting and shared COP.,51,2026-10-01,2030-12-31,First Exercise Outcomes Review,2027-09-30,Scenario & Participation Adjusted,2028-09-30,Multidomain Interoperability Demonstrated,2029-12-31,,,"If exercise exposes severe gaps or political blowback, branch to focused, smaller-scale bilateral training instead of large multilateral events."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.1,Maintain & Protect the Multinational Homeland Defense,1.2.1,1.2.1a,Plan Tri-National Homeland Defense Integration,Plan integration of Canadian and Mexican partners into JTF-HD.,Define land HD roles for partners.,Define maritime contributions and coastal sensor coverage.,Define air defense and NORAD integration points.,Define HD-relevant cyber defense roles.,Define space early warning integration with partners.,9,2026-01-01,2026-09-30,Tri-National Roles Drafted,2026-04-30,,,HD Integration Plan Approved,2026-09-30,,,"If Mexico or Canada reject deeper HD role, branch to asymmetric integration (e.g., stronger NORAD vs lighter Mexican engagement)."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.1,Maintain & Protect the Multinational Homeland Defense,1.2.1,1.2.1b,Execute Tri-National Homeland Defense Integration,Execute and rehearse multinational homeland defense plans.,Conduct land HD CPXs/FTXs with partners.,Coordinate maritime HD patrols and sensors.,Coordinate air defense and alert missions.,Operate shared HD-relevant cyber monitoring.,Integrate space-based early warning feeds.,51,2026-10-01,2030-12-31,First Tri-National HD Rehearsal Review,2027-09-30,Adjust HD Roles/Expectations,2028-09-30,Coherent Tri-National HD Practice,2029-12-31,,,"If partners impose new caveats after rehearsals, branch to reduced HD reliance and more unilateral U.S. capabilities."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.2,Maintain & Protect the Multinational Homeland Defense,1.2.2,1.2.2a,Plan Early-Warning ISR Architecture,Plan early-warning ISR investments and siting.,Select land sites for supporting infrastructure.,Select maritime radar and sensor locations.,Select air OTH radar and aerostat sites.,Plan secure ISR control and data networks.,Plan integration with space-based missile warning.,9,2026-01-01,2026-09-30,ISR Site Plan Drafted,2026-04-30,,,ISR Architecture Approved,2026-09-30,,,"If environmental/political concerns block key sites, branch to alternative siting or heavier space-based sensing reliance."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.2,Maintain & Protect the Multinational Homeland Defense,1.2.2,1.2.2b,Deploy Early-Warning ISR,Deploy and operate shared early-warning ISR systems.,Build land infrastructure and protection.,Deploy maritime warning radars and feeds.,Operate air warning radars and cueing systems.,Maintain secure ISR networks.,Fuse space-based missile warning into picture.,51,2026-10-01,2030-12-31,Initial Coverage Achieved,2028-06-30,,,Persistent Warning Matures,2030-12-31,,,"If budget cuts or technology delays occur, branch to staggered deployment and prioritized threat axes."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.3,Preserve Maritime Interdiction & Border Security Capacity,1.2.3,1.2.3a,Plan Maritime Interdiction Posture,Plan persistent joint/combined maritime interdiction posture.,Identify land staging areas and ports.,Identify maritime patrol patterns and chokepoints.,Identify MPA and ISR support requirements.,Identify cyber protections for maritime C2.,Identify space MDA products to cue interdiction.,9,2026-01-01,2026-09-30,Interdiction Design Drafted,2026-04-30,,,Posture Plan Approved,2026-09-30,,,"If partners reject high-risk areas or ROE, branch to more conservative posture and adjust expectations for OBJ 2 effects."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.3,Preserve Maritime Interdiction & Border Security Capacity,1.2.3,1.2.3b,Execute Maritime Interdiction,Conduct persistent maritime interdiction operations.,Use land staging and law-enforcement support.,Maintain USCG/USN/partner patrols.,Provide MPA/ISR coverage.,Defend maritime C2 networks from cyber attack.,Use space AIS/SAR to locate suspect vessels.,51,2026-10-01,2030-12-31,Interdiction Tempo & Risk Review,2027-06-30,Partner ROE & Legal Alignment Check,2028-03-31,Key Routes Under Persistent Coverage,2028-12-31,Network-Level Disruption Achieved,2029-12-31,"If legal objections (e.g., boat strikes) increase, branch to non-lethal focus and shift some effort to financial/cyber pressure."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.4,Preserve Maritime Interdiction & Border Security Capacity,1.2.4,1.2.4a,Plan Border ISR Support,Plan ISR and planning support for DHS/CBP border ops.,Map land crossing points and corridors.,Map maritime approaches feeding land pressure.,Identify air ISR coverage gaps.,Identify cyber intel needs on TCO infrastructure.,Identify space imagery requirements for border monitoring.,9,2026-01-01,2026-09-30,Border ISR Plan Drafted,2026-04-30,,,Support Plan Approved,2026-09-30,,,"If DHS/CBP have divergent priorities, branch to narrower WHEMCOM support on high-risk corridors only."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.4,Preserve Maritime Interdiction & Border Security Capacity,1.2.4,1.2.4b,Provide Border ISR Support,Provide ongoing ISR and planning support to border ops.,Provide ground-based ISR and planning cells.,Support coastal interdiction with CBP/navies.,Provide air tracks and ISR to border task forces.,Share TCO cyber intel with DHS/CBP SOCs.,Use space imagery for route/camp detection.,51,2026-10-01,2030-12-31,Border ISR Utility Review,2027-09-30,,,Joint Border Picture Established,2029-12-31,,,"If domestic political concerns about militarization grow, branch to lower-visibility, analytic-only support."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.5,Ensure DSCA Responsiveness During Venezuela-Driven Instability,1.2.5,1.2.5a,Plan HA/DR Pre-Positioning,Plan pre-positioning of HA/DR stocks in key partners.,Identify land depots and secure storage.,Identify maritime ports for HA/DR throughput.,Identify airfields suitable as hubs.,Plan resilient DSCA comms.,Identify space imagery needs for rapid assessment.,9,2026-01-01,2026-09-30,HA/DR Sites Proposed,2026-04-30,,,Pre-Positioning Plan Approved,2026-09-30,,,"If partners fear politicization of HA/DR stocks, branch to U.S.-only prepositioning on U.S.-controlled sites."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.5,Ensure DSCA Responsiveness During Venezuela-Driven Instability,1.2.5,1.2.5b,Execute HA/DR Pre-Positioning,Pre-position and maintain HA/DR stocks with partners.,Establish land depots and control.,Route HA/DR via selected ports and sealift.,Use airlift for critical HA/DR flows.,Maintain DSCA comms/IT.,Use space imagery to refine routing and staging.,51,2026-10-01,2030-12-31,Initial Stocks in Place,2027-06-30,,,Pre-Positioning Validated in Real Event,2029-12-31,,,"If a major HA/DR event reveals corruption/misdirection, branch to tighter controls or centralized U.S. custody of stocks."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.6,Ensure DSCA Responsiveness During Venezuela-Driven Instability,1.2.6,1.2.6a,Plan DSCA/FDR Exercises,Plan DSCA/FDR exercises with interagency and partners.,Define land-based DSCA scenarios.,Define maritime HA/DR support vignettes.,Define airlift/medevac scenarios.,Define cyber continuity arrangements.,Define space product integration for DSCA.,9,2026-01-01,2026-09-30,DSCA Exercise Concepts Drafted,2026-04-30,,,DSCA Exercise Plan Approved,2026-09-30,,,"If interagency balks at military-heavy scenarios, branch to more civilian-led DSCA constructs."
1,Strengthen & Protect Western Hemisphere Partnership Network,1.2,Preserve Homeland Defense & DSCA Readiness,1.2.6,Ensure DSCA Responsiveness During Venezuela-Driven Instability,1.2.6,1.2.6b,Execute DSCA/FDR Exercises,Execute DSCA/FDR exercises and refine plans.,Conduct land DSCA drills with FEMA/USAID/partners.,Exercise port & maritime HA/DR.,Exercise air evacuation/airlift.,Test DSCA IT/cyber resilience.,Use space-derived products in DSCA planning.,51,2026-10-01,2030-12-31,First DSCA Exercise Review,2027-09-30,Scenario & Partnerships Adjusted,2028-09-30,DSCA Responsiveness Demonstrated,2029-12-31,,,"If DSCA execution reveals severe civil-military frictions, branch to reduced operational visibility and more support-to-civil-power framing."
